Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Sports logo (product.metafields.shopify.sports-logo),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / ID SG MY,Price / ID SG MY,Compare At Price / ID SG MY,Status
1999-juventus-away-special-shirt,1999 Juventus Away Special Shirt,"<ul>
<li>
<h3><strong><u>☑️ CONDITION :</u></strong></h3>
<ul>
<li><em>BNIB (Brand New In Bag)</em></li>
<li><em>Replica Version</em></li>
</ul>
<h3>☑️ <strong><u>NOTES :</u></strong><em>.</em>
</h3>
<ul>
<li>
<em>You can add custom name set jersey.</em><span> </span>Refer to<span> </span><a href=""https://cfjersey.com/products/custom-name-number-set?variant=46711942021290"" title=""nameset"">this link</a>
</li>
<li>Please refer our sizing (asian size) to<span> </span><a href=""https://cfjersey.com/pages/sizing"" title=""SIZING"">this link</a><br>
</li>
</ul>
<h3>☑️ <strong><u>CARE :</u></strong><span></span>
</h3>
<div>
<ul>
<li><span>Machine wash cold</span></li>
<li>Do not iron print</li>
<li>Do not dry clean</li>
<li>Do not tumble dry</li>
</ul>
</div>
<div>
<ul>
<li>Wash and iron inside out</li>
<li>Wash with similar colours</li>
<li>Use only mild detergent</li>
<li>Touch up with cool iron</li>
</ul>
</div>
</li>
</ul>",N/A,Uncategorized,Juventus Classic Shirts,"1990's Collection, CN, GF, Juventus, Shirt",true,Size,SMALL,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0565/1120/1450/files/rn-image_picker_lib_temp_59f40794-9a42-4e38-a0a2-233a21abeda0.jpg?v=1787293165,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,true,,,active
1999-juventus-away-special-shirt,,,,,,,,,MEDIUM,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0565/1120/1450/files/rn-image_picker_lib_temp_7f7fecce-b57d-44b8-86be-4c281ef9a81c.jpg?v=1787293165,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,LARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0565/1120/1450/files/rn-image_picker_lib_temp_65efeeda-4962-4099-8340-c9b0a39e3cd7.jpg?v=1787293165,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,XLARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,2XLARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,3XLARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,4XLARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
1999-juventus-away-special-shirt,,,,,,,,,5XLARGE,,,,,,,,,250.0,shopify,0,continue,manual,50.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
zidane-21-patch-1999-juventus-away-special-shirt,(Zidane #21 + Patch) 1999 Juventus Away Special Shirt,"<ul>
<li>
<h3><strong><u>☑️ CONDITION :</u></strong></h3>
<ul>
<li><em>BNIB (Brand New In Bag)</em></li>
<li><em>Replica Version</em></li>
</ul>
<h3>☑️ <strong><u>NOTES :</u></strong><em>.</em>
</h3>
<ul>
<li>
<em>You can add custom name set jersey.</em><span> </span>Refer to<span> </span><a href=""https://cfjersey.com/products/custom-name-number-set?variant=46711942021290"" title=""nameset"">this link</a>
</li>
<li>Please refer our sizing (asian size) to<span> </span><a href=""https://cfjersey.com/pages/sizing"" title=""SIZING"">this link</a><br>
</li>
</ul>
<h3>☑️ <strong><u>CARE :</u></strong><span></span>
</h3>
<div>
<ul>
<li><span>Machine wash cold</span></li>
<li>Do not iron print</li>
<li>Do not dry clean</li>
<li>Do not tumble dry</li>
</ul>
</div>
<div>
<ul>
<li>Wash and iron inside out</li>
<li>Wash with similar colours</li>
<li>Use only mild detergent</li>
<li>Touch up with cool iron</li>
</ul>
</div>
</li>
</ul>",N/A,Uncategorized,Juventus Classic Shirts,"1990's Collection, CN, GF, Juventus, Shirt",true,Size,SMALL,,,,,,,,,250.0,shopify,0,continue,manual,80.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0565/1120/1450/files/rn-image_picker_lib_temp_59f40794-9a42-4e38-a0a2-233a21abeda0.jpg?v=1787293165,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,true,,,active
zidane-21-patch-1999-juventus-away-special-shirt,,,,,,,,,MEDIUM,,,,,,,,,250.0,shopify,0,continue,manual,80.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0565/1120/1450/files/rn-image_picker_lib_temp_91ff343b-e860-49eb-b9ed-06737da21a96.jpg?v=1787293165,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.50,,,,
